featureID,name,FeatureType,subFeatureType,cityID
VHO_102_001,Reno,Point,STN,
VHO_102_002,Las Vegas,Point,STN,
VHO_125_001,Tallinn,Point,STN,
VHO_125_002,Helsinki,Point,STN,
VHO_125_003,Muuga,Point,STN,
VHO_121_001,Eindhoven,Point,STN,
VHO_121_002,Den Bosch,Point,STN,
VHO_121_003,Arnhem,Point,STN,
VHO_121_004,Rotterdam,Point,STN,
VHO_121_005,Amsterdam,Point,STN,
VHO_121_006,Lelystad,Point,STN,
VHO_115_001,Madrid,Point,STN,
VHO_115_002,Alegciras,Point,STN,
VHO_115_003,Tangier,Point,STN,
VHO_137_001,Dallas/Fort Worth/Arlington,Point,STN,
VHO_137_002,Laredo,Point,STN,
VHO_137_003,Austin,Point,STN,
VHO_137_004,San Antonio,Point,STN,
VHO_137_005,Waco,Point,STN,
VHO_137_006,Temple-Killeen,Point,STN,
VHO_112_001,Providence,Point,STN,
VHO_112_002,Fall River,Point,STN,
VHO_112_003,Boston,Point,STN,
VHO_112_004,Somerset,Point,STN,
VHO_120_001,Edinburgh,Point,STN,
VHO_120_002,Birmingham,Point,STN,
VHO_120_003,London,Point,STN,
VHO_120_004,Manchester,Point,STN,
VHO_108_001,Waco,Point,STN,
VHO_108_002,Austin,Point,STN,
VHO_108_003,San Antonio,Point,STN,
VHO_108_004,Temple-Killeen,Point,STN,
VHO_108_005,Laredo,Point,STN,
VHO_108_006,Dallas,Point,STN,
VHO_108_007,Houston Port,Point,STN,
VHO_108_008,Houston,Point,STN,
VHO_108_009,DFW,Point,STN,
VHO_114_001,Leon,Point,STN,
VHO_114_002,Mexico City,Point,STN,
VHO_114_003,Guadalajara,Point,STN,
VHO_114_004,Queretaro,Point,STN,
VHO_133_001,Coimbatore,Point,STN,
VHO_133_002,Thiruvananthapuram,Point,STN,
VHO_133_003,Bengaluru,Point,STN,
VHO_133_004,Kochi,Point,STN,
VHO_117_001,Porto Vecchio Bonifacio,Point,STN,
VHO_117_002,Cagliari,Point,STN,
VHO_117_003,Aleria,Point,STN,
VHO_117_004,Oristano,Point,STN,
VHO_117_005,Bastia,Point,STN,
VHO_117_006,Sassari,Point,STN,
VHO_101_001,Olympia,Point,STN,
VHO_101_002,Eugene,Point,STN,
VHO_101_003,Portland,Point,STN,
VHO_101_004,Seattle,Point,STN,
VHO_124_001,Helsinki,Point,STN,
VHO_124_002,Salo,Point,STN,
VHO_124_003,Turku,Point,STN,
VHO_124_004,Norrtälje,Point,STN,
VHO_124_005,Uppsala,Point,STN,
VHO_124_006,Lohja,Point,STN,
VHO_124_007,Arlanda Airport (ARN),Point,STN,
VHO_124_008,Åland Islands,Point,STN,
VHO_124_009,Helsinki Airport (HEL),Point,STN,
VHO_124_010,Stockholm,Point,STN,
VHO_111_001,Orlando,Point,STN,
VHO_111_002,Miami,Point,STN,
STML_103_001,Tangier,Point,STN,
STML_103_002,Algeciras,Point,STN,
STML_102_001,Madrid,Point,STN,
STML_102_002,Algeciras,Point,STN,
STML_102_003,Seville,Point,STN,
STML_102_004,Casablanca,Point,STN,
STML_102_005,Tangier,Point,STN,
STML_102_006,Marrakesh,Point,STN,
HP_102_001,Frankfurt,Point,STN,
HP_102_002,Berlin,Point,STN,
HP_102_003,Vilnius,Point,STN,
HP_102_004,Warsaw,Point,STN,
HP_102_005,Paris,Point,STN,
HP_102_006,Wroclaw,Point,STN,
HP_102_007,Gdansk,Point,STN,
HP_102_008,Lviv,Point,STN,
HP_102_009,Katowice,Point,STN,
HP_102_010,Kyiv,Point,STN,
HP_102_011,Prague,Point,STN,
HP_102_012,Budapest,Point,STN,
HP_102_013,Kraków,Point,STN,
SP_102_001,Zurich,Point,STN,
SP_102_002,Geneva,Point,STN,
HP_103_001,Łódź,Point,STN,
HP_103_002,Wroclaw,Point,STN,
HP_103_003,Warsaw,Point,STN,
HP_103_004,Berlin,Point,STN,
HP_103_005,Kraków,Point,STN,
HP_103_006,Poznań,Point,STN,
HP_103_007,Łódź,Point,STN,
